Question,Option A,Option B,Option C,Option D,Correct Answer
What is the time complexity of searching for an element in an unsorted array? (Understanding) (Time Complexity of Searching in an Unsorted Array),O(log n),O(n),O(n log n),O(1),B) O(n)
What is the main disadvantage of arrays? (Theoretical) (Characteristics of Arrays),They are not dynamic,They are not memory-efficient,They are not suitable for insertion and deletion,They are not flexible,A) They are not dynamic
What is the advantage of using doubly linked lists over singly linked lists? (Understanding) (Doubly Linked Lists vs. Singly Linked Lists),Faster insertion and deletion,Bidirectional traversal,Less memory usage,Simplified implementation,B) Bidirectional traversal
What is the purpose of a max-heap? (Logical Reasoning) (Max-Heap Characteristics),To find the minimum element in an array,To find the maximum element in an array,To sort an array in ascending order,To implement a priority queue,B) To find the maximum element in an array
What is the time complexity of inserting an element into a balanced binary search tree? (Analysis) (Balanced Trees: AVL and Red-Black Trees),O(n),O(log n),O(n log n),O(1),B) O(log n)
What is the main application of binary search trees? (Remembering) (Applications of Binary Search Trees),Database indexing,File system navigation,Game development,Computer graphics,A) Database indexing
What is the disadvantage of using doubly linked lists? (Understanding) (Disadvantages of Doubly Linked Lists),Increased memory usage,Complexity in implementation,Slower traversal,Limited applicability,A) Increased memory usage
What is the purpose of a pseudocode? (Pseudocode) (Pseudocode for Summing Elements in an Array),To implement an algorithm in a specific programming language,To describe an algorithm in a computer-agnostic way,To analyze the time complexity of an algorithm,To visualize the data structure of an algorithm,B) To describe an algorithm in a computer-agnostic way
What is the advantage of using arrays over linked lists? (Theoretical) (Advantages of Arrays),Dynamic size,Faster insertion and deletion,Direct access,Less memory usage,C) Direct access
What is the time complexity of deleting an element from a max-heap? (Analysis) (Max-Heap Characteristics),O(n),O(log n),O(n log n),O(1),B) O(log n)
What is the main application of heaps? (Remembering) (Real-World Applications of Heaps),Priority queues,Scheduling systems,Database indexing,Computer graphics,A) Priority queues
What is the purpose of an AVL tree? (Theoretical) (Balanced Trees: AVL and Red-Black Trees),To implement a priority queue,To index a database,To balance a binary search tree,To visualize a data structure,C) To balance a binary search tree
What is the disadvantage of using arrays? (Understanding) (Disadvantages of Arrays),Fixed size,Complexity in implementation,Slower traversal,Limited applicability,A) Fixed size
What is the time complexity of summing elements in an array using the pseudocode provided? (Pseudocode) (Pseudocode for Summing Elements in an Array),O(n),O(log n),O(n log n),O(1),A) O(n)
What is the main application of linked lists? (Remembering) (Applications of Linked Lists),Memory management systems,Browser history navigation,Game development,Computer graphics,A) Memory management systems
What is the purpose of a binary search tree? (Theoretical) (Binary Search Trees),To implement a priority queue,To index a database,"To facilitate fast search, insertion, and deletion operations",To visualize a data structure,"C) To facilitate fast search, insertion, and deletion operations"
What is the disadvantage of using singly linked lists? (Understanding) (Disadvantages of Singly Linked Lists),Slow traversal,Limited applicability,Complexity in implementation,Increased memory usage,A) Slow traversal
What is the time complexity of searching for an element in a binary search tree? (Analysis) (Binary Search Trees),O(n),O(log n),O(n log n),O(1),B) O(log n)
What is the main application of arrays? (Remembering) (Applications of Arrays),Game development,Computer graphics,Maintaining a list of predefined settings,Browser history navigation,C) Maintaining a list of predefined settings
What is the purpose of a red-black tree? (Theoretical) (Balanced Trees: AVL and Red-Black Trees),To implement a priority queue,To index a database,To maintain a balanced binary search tree,To visualize a data structure,C) To maintain a balanced binary search tree
What is the disadvantage of using binary search trees? (Understanding) (Disadvantages of Binary Search Trees),Slow insertion and deletion,Limited applicability,Complexity in implementation,Increased memory usage,A) Slow insertion and deletion
What is the time complexity of inserting an element into a max-heap? (Analysis) (Max-Heap Characteristics),O(n),O(log n),O(n log n),O(1),B) O(log n)
What is the main application of doubly linked lists? (Remembering) (Applications of Doubly Linked Lists),Memory management systems,Browser history navigation,Game development,Computer graphics,B) Browser history navigation
What is the purpose of an AVL tree? (Theoretical) (Balanced Trees: AVL and Red-Black Trees),To implement a priority queue,To index a database,To maintain a balanced binary search tree,To visualize a data structure,C) To maintain a balanced binary search tree
What is the disadvantage of using heaps? (Understanding) (Disadvantages of Heaps),Slow insertion and deletion,Limited applicability,Complexity in implementation,Increased memory usage,C) Complexity in implementation
What is the time complexity of summing elements in an array using the pseudocode provided? (Pseudocode) (Pseudocode for Summing Elements in an Array),O(n),O(log n),O(n log n),O(1),A) O(n)
What is the main application of binary search trees? (Remembering) (Applications of Binary Search Trees),Database indexing,File system navigation,Game development,Computer graphics,A) Database indexing
What is the purpose of a doubly linked list? (Theoretical) (Doubly Linked Lists vs. Singly Linked Lists),To implement a priority queue,To index a database,To facilitate fast insertion and deletion operations,To visualize a data structure,C) To facilitate fast insertion and deletion operations
What is the disadvantage of using arrays? (Understanding) (Disadvantages of Arrays),Fixed size,Complexity in implementation,Slower traversal,Limited applicability,A) Fixed size
What is the time complexity of deleting an element from a binary search tree? (Analysis) (Binary Search Trees),O(n),O(log n),O(n log n),O(1),B) O(log n)
